iter	RMSE
242	1753.413798
243	1752.363239
244	1750.482739
245	1749.831748
246	1748.525934
247	1747.225197
248	1746.594043
249	1745.514231
250	1743.856213
251	1743.003249
252	1742.338313
253	1740.756846
254	1739.583403
255	1738.588947
256	1737.204873
257	1735.392484
258	1734.565664
259	1733.704616
260	1732.114661
261	1730.555841
262	1728.46434
263	1727.304778
264	1726.430311
265	1724.936619
266	1724.212989
267	1722.838225
268	1721.994955
269	1721.429916
270	1720.860521
271	1719.977368
272	1718.917803
273	1717.485589
274	1716.555139
275	1715.674742
276	1714.679372
277	1712.178908
278	1710.863268
279	1708.909002
280	1708.214976
281	1707.969106
282	1707.12652
283	1705.725418
284	1704.916393
285	1703.916038
286	1703.406794
287	1702.524202
288	1700.886559
289	1700.122687
290	1699.317464
291	1698.418438
292	1697.406968
293	1697.022432
294	1694.865857
295	1693.17217
296	1691.27027
297	1690.245417
298	1689.934273
299	1689.099825
300	1687.598006
301	1686.127817
302	1684.795279
303	1683.518853
304	1682.789016
305	1681.333639
306	1680.188235
307	1678.923838
308	1678.062187
309	1676.963932
310	1676.200873
311	1675.557379
312	1674.530002
313	1673.593616
314	1672.416687
315	1671.762883
316	1671.120428
317	1670.475314
318	1669.737544
319	1669.158478
320	1667.741712
321	1667.245459
322	1666.400465
323	1665.504935
324	1664.8767
325	1663.927315
326	1663.73737
327	1663.083415
328	1661.892043
329	1661.332936
330	1660.220509
331	1659.544421
332	1658.705274
333	1657.38355
334	1656.294421
335	1655.608897
336	1654.266167
337	1653.453646
338	1653.045379
339	1651.692011
340	1650.462587
341	1649.861895
342	1649.712742
343	1649.244222
344	1648.311939
345	1647.299171
346	1646.42043
347	1645.242108
348	1644.506448
349	1643.735679
350	1642.938842
351	1642.866909
352	1642.244817
353	1641.470606
354	1639.980146
355	1639.398676
356	1638.842199
357	1638.290457
358	1637.851859
359	1636.663955
360	1636.002068
361	1635.640825
362	1635.156046
363	1634.621304
364	1634.055728
365	1633.713243
366	1632.685626
367	1631.981419
368	1631.298151
369	1630.62088
370	1629.629418
371	1629.183793
372	1628.832277
373	1628.12938
374	1627.320843
375	1626.431426
376	1625.961078
377	1624.896503
378	1624.076811
379	1623.463684
380	1622.527983
381	1622.049962
382	1621.602575
383	1620.835693
384	1620.708493
385	1619.834802
386	1619.0687
387	1618.101527
388	1616.944553
389	1615.976035
390	1615.347714
391	1615.285063
392	1614.389404
393	1613.206665
394	1612.48383
395	1611.572887
396	1610.705366
397	1609.980259
398	1609.672749
399	1608.844072
400	1608.120813
401	1607.132374
402	1606.503483
403	1606.085562
404	1605.802245
405	1605.233708
406	1604.617233
407	1604.117443
408	1603.58903
409	1603.139327
410	1602.675158
411	1602.249653
412	1601.92021
413	1600.986253
414	1600.493401
415	1599.062135
416	1598.09326
417	1597.738394
418	1597.275891
419	1596.676911
420	1595.87471
421	1595.284355
422	1594.471273
423	1594.412089
424	1593.964666
425	1593.133096
426	1592.164914
427	1591.7905
428	1590.869353
429	1590.318282
430	1589.951998
431	1589.657455
432	1589.181235
433	1588.710926
434	1588.370033
435	1587.543355
436	1587.243485
437	1586.709955
438	1586.21695
439	1585.767641
440	1584.678663
441	1583.932361
442	1583.587216
443	1583.184421
444	1582.351886
445	1581.814969
446	1581.452479
447	1580.811617
448	1579.996259
449	1579.685373
450	1579.450885
451	1578.547103
452	1577.542838
453	1577.438821
454	1576.747908
455	1575.540898
456	1575.101947
457	1573.618414
458	1573.068188
459	1572.100374
460	1571.395
461	1570.837933
462	1570.383708
463	1569.716666
464	1568.067376
465	1567.679753
466	1567.301587
467	1566.761073
468	1566.260999
469	1565.826906
470	1565.239903
471	1564.568777
472	1564.230453
473	1563.878326
474	1563.529768
475	1563.24285
476	1562.498134
477	1562.052286
478	1561.167257
479	1560.319086
480	1559.538943
481	1559.1138
482	1558.808981
483	1558.485173
484	1558.065885
485	1558.02086
486	1557.779384
487	1557.387601
488	1556.413916
489	1555.942362
490	1555.462612
491	1555.251289
492	1554.664236
493	1553.976396
494	1553.791283
495	1552.979846
496	1552.445377
497	1552.091627
498	1551.616796
499	1551.181842
500	1550.651594
501	1549.939401
502	1548.889545
503	1548.100015
504	1547.745269
505	1547.280451
506	1546.535768
507	1545.974433
508	1545.769408
509	1545.028592
510	1544.33352
511	1543.958938
512	1543.376845
513	1543.019273
514	1542.398164
515	1541.462151
516	1541.053333
517	1540.258409
518	1539.85684
519	1539.403101
520	1539.000461
521	1538.290477
522	1537.489244
523	1536.975908
524	1536.792333
525	1536.239423
526	1536.087358
527	1536.002673
528	1535.642448
529	1535.094827
530	1534.800556
531	1534.414474
532	1534.13314
533	1533.495402
534	1532.498722
535	1531.584212
536	1531.395723
537	1531.026151
538	1530.706501
539	1530.05655
540	1529.445759
541	1528.933143
542	1528.167803
543	1527.521962
544	1527.231675
545	1526.657399
546	1526.404981
547	1526.342656
548	1525.832062
549	1525.292345
550	1524.653996
551	1524.243221
552	1523.545853
553	1523.255348
554	1523.193843
555	1522.941247
556	1522.603566
557	1522.271554
558	1521.846116
559	1521.366901
560	1520.580943
561	1519.825892
562	1519.563018
563	1519.241327
564	1518.92394
565	1518.535653
566	1518.207399
567	1517.653802
568	1517.429411
569	1516.864533
570	1516.484913
571	1515.968396
572	1515.347598
573	1514.960648
574	1514.33528
575	1513.944024
576	1513.635488
577	1513.289903
578	1512.739364
579	1511.596347
580	1511.057186
581	1510.445526
582	1509.333159
583	1509.091189
584	1508.393524
585	1507.864339
586	1507.324317
587	1507.06691
588	1505.93797
589	1505.373817
590	1504.910444
591	1504.596016
592	1504.267786
593	1503.880058
594	1503.691372
595	1503.148246
596	1502.995245
597	1502.847174
598	1502.550504
599	1502.249272
600	1501.789752
601	1501.205304
602	1500.81078
603	1500.55703
604	1500.238774
605	1499.776334
606	1499.534723
607	1499.280231
608	1498.904101
609	1498.557038
610	1498.411811
611	1497.963854
612	1497.699263
613	1497.105336
614	1496.926057
615	1496.662944
616	1496.348648
617	1496.053628
618	1495.583587
619	1494.832312
620	1494.404576
621	1493.886018
622	1493.475236
623	1493.09836
624	1492.519966
625	1492.266419
626	1492.08947
627	1491.726164
628	1491.280365
629	1490.896658
630	1490.465848
631	1490.293079
632	1489.956439
633	1489.516486
634	1489.062884
635	1488.765332
636	1488.46246
637	1488.256236
638	1487.963179
639	1487.659759
640	1487.243242
641	1486.364566
642	1485.77874
643	1485.73445
644	1485.527969
645	1485.055636
646	1484.477395
647	1483.914428
648	1483.359471
649	1483.344062
650	1483.081342
651	1482.411487
652	1481.648452
653	1481.187761
654	1480.514242
655	1480.1038
656	1479.921437
657	1479.490391
658	1479.128522
659	1479.022294
660	1478.61055
661	1478.176872
662	1477.702712
663	1477.483676
664	1477.164494
665	1476.612971
666	1476.401693
667	1476.250188
668	1475.649186
669	1475.174507
670	1474.692465
671	1474.214761
672	1473.79556
673	1473.326021
674	1472.966755
675	1472.459467
676	1471.475144
677	1470.880256
678	1470.401748
679	1470.096517
680	1469.768041
681	1469.274983
682	1468.880368
683	1468.340213
684	1468.02849
685	1467.740357
686	1467.375599
687	1466.808593
688	1466.596746
689	1466.072968
690	1465.01375
691	1464.748451
692	1464.627542
693	1464.269142
694	1464.055651
695	1463.480144
696	1462.99036
697	1462.762063
698	1462.170593
699	1461.747345
700	1460.925045
701	1460.666715
702	1459.892986
703	1459.045789
704	1458.853129
705	1458.534181
706	1458.029523
707	1457.801787
708	1457.49957
709	1457.249877
710	1456.822014
711	1456.360466
712	1456.060675
713	1455.804833
714	1455.594652
715	1455.287103
716	1454.564694
717	1454.361104
718	1453.901833
719	1453.584637
720	1453.385298
721	1452.993223
722	1452.742266
723	1452.465855
724	1452.130679
725	1451.602408
726	1451.265821
727	1451.026213
728	1450.427569
729	1450.266933
730	1449.986154
731	1449.726414
732	1449.27993
733	1449.213686
734	1448.875568
735	1448.607793
736	1448.373798
737	1447.950005
738	1447.686117
739	1447.309512
740	1447.129735
741	1446.928949
742	1446.781636
743	1446.434566
744	1446.232581
745	1446.111419
746	1445.918341
747	1445.669985
748	1445.27249
749	1445.03383
750	1444.870925
751	1444.422911
752	1444.127081
753	1443.979936
754	1443.750403
755	1443.60872
756	1443.161719
757	1442.97423
758	1442.737137
759	1442.342506
760	1441.965384
761	1441.752012
762	1441.462487
763	1441.031339
764	1440.810125
765	1440.281496
766	1439.680267
767	1439.397928
768	1438.744648
769	1438.380274
770	1438.174635
771	1437.809202
772	1437.617711
773	1437.022382
774	1436.843855
775	1436.669721
776	1436.570223
777	1436.241043
778	1436.137574
779	1435.886158
780	1435.570848
781	1435.197932
782	1435.035489
783	1434.85477
784	1434.545513
785	1434.379783
786	1434.100627
787	1433.509067
788	1433.140289
789	1432.819243
790	1432.542512
791	1432.189841
792	1431.88053
793	1431.616249
794	1431.136861
795	1430.687567
796	1430.272231
797	1430.089973
798	1429.746689
799	1429.477507
800	1428.785599
801	1428.566826
802	1428.404702
803	1427.843475
804	1427.684685
805	1427.447861
806	1427.046522
807	1426.518793
808	1426.354984
809	1426.251211
810	1425.999227
811	1425.483848
812	1424.473471
813	1424.179413
814	1423.870281
815	1423.630547
816	1423.339377
817	1422.910129
818	1422.64128
819	1422.405322
820	1422.074052
821	1421.621296
822	1421.491143
823	1421.191964
824	1420.935214
825	1420.754926
826	1420.609839
827	1420.321065
828	1419.879257
829	1419.634787
830	1419.416546
831	1419.288494
832	1418.960662
833	1418.7336
834	1418.524852
835	1418.218469
836	1417.915266
837	1417.773619
838	1417.626307
839	1417.205905
840	1417.043932
841	1416.668229
842	1416.235143
843	1416.167247
844	1415.974768
845	1415.303549
846	1415.138727
847	1415.054101
848	1414.788759
849	1414.510349
850	1414.312128
851	1413.925901
852	1413.669636
853	1413.497312
854	1413.197101
855	1412.477917
856	1412.239305
857	1412.058129
858	1411.866245
859	1411.75698
860	1411.508991
861	1411.274911
862	1410.822701
863	1410.568701
864	1410.365277
865	1410.238169
866	1409.944204
867	1409.664804
868	1409.355297
869	1409.08054
870	1408.759445
871	1408.664195
872	1408.393869
873	1408.233611
874	1407.873334
875	1407.557277
876	1407.319756
877	1407.118047
878	1406.792608
879	1406.517265
880	1406.352648
881	1406.117593
882	1405.975043
883	1405.720611
884	1405.491484
885	1405.29385
886	1404.832975
887	1404.694146
888	1404.489566
889	1404.339797
890	1404.161401
891	1403.949647
892	1403.750807
893	1403.349175
894	1402.851608
895	1402.634496
896	1402.102809
897	1401.785876
898	1401.512726
899	1400.924585
900	1400.575622
901	1400.126767
902	1399.802242
903	1399.433444
904	1399.00205
905	1398.708288
906	1398.444439
907	1397.985465
908	1397.80891
909	1397.556307
910	1397.310773
911	1396.934576
912	1396.695579
913	1396.445608
914	1396.229139
915	1395.968802
916	1395.537746
917	1395.111865
918	1394.885683
919	1394.591214
920	1394.44877
921	1394.280689
922	1394.05737
923	1393.664483
924	1393.443752
925	1393.232343
926	1393.193079
927	1393.055101
928	1392.927555
929	1392.696301
930	1392.603434
931	1392.508782
932	1392.279759
933	1392.147042
934	1392.02707
935	1391.713323
936	1391.524009
937	1391.389348
938	1391.160476
939	1390.985202
940	1390.794585
941	1390.599683
942	1390.43484
943	1390.045739
944	1389.796619
945	1389.672189
946	1389.391138
947	1389.260058
948	1388.9584
949	1388.770872
950	1388.301148
951	1388.087752
952	1388.016727
953	1387.806624
954	1387.369973
955	1386.775416
956	1386.404335
957	1386.207554
958	1385.942502
959	1385.427245
960	1385.332765
961	1385.054875
962	1384.757547
963	1384.499696
964	1384.418343
965	1384.055242
966	1383.734218
967	1383.469025
968	1383.270967
969	1382.913818
970	1382.755001
971	1382.676758
972	1382.305189
973	1382.134449
974	1382.050353
975	1381.749148
976	1381.458595
977	1381.304973
978	1381.13513
979	1381.026099
980	1380.824472
981	1380.697287
982	1380.522344
983	1380.381764
984	1380.147755
985	1379.965447
986	1379.721658
987	1379.700175
988	1379.342907
989	1379.112611
990	1378.870595
991	1378.671887
992	1378.337951
993	1377.936723
994	1377.615098
995	1377.606336
996	1377.432331
997	1377.260045
998	1377.125288
999	1376.806874
